title,description,status,assignee,labels,milestone
"FASE I: Diseñar esquema PostgreSQL (entidades principales)",Crear tablas: Business, User, Transaction, Product, Cancellation. Relaciones e índices. Migrations.,To-do,Jesús Medina,backend,db,Fase I - MVP
"FASE I: API Auth (JWT + Google Login)",Endpoint POST /auth/login con JWT de 24h. Validación con Google token. SecureStorage compatible.,To-do,Jesús Medina,backend,auth,Fase I - MVP
"FASE I: API CRUD Negocios",Endpoints CRUD para Business con plan Free/Premium. Validación de licencias.,To-do,Jesús Medina,backend,Fase I - MVP
"FASE I: API CRUD Productos",Endpoints CRUD para productos por negocio. Soporte para creación al vuelo.,To-do,Jesús Medina,backend,Fase I - MVP
"FASE I: API CRUD Transacciones",Endpoints para registrar ventas, gastos y deudas. Tipo de pago (efectivo/tarjeta con foto baucher).,To-do,Jesús Medina,backend,Fase I - MVP
"FASE I: API Sync Batch (POST /sync)",Endpoint que recibe batch de transacciones locales. Resolución de conflictos por timestamp + device_id.,To-do,Jesús Medina,backend,sync,Fase I - MVP
"FASE I: API Reportes básicos",GET /business/{id}/reports con rango de fechas. Respuesta con total_sales, total_expenses, net_cash, top_products.,To-do,Jesús Medina,backend,reportes,Fase I - MVP
"FASE I: UI Onboarding (Google Login + Rol)",Pantalla de login con Google. Selección de rol (Dueño/Cajero). Redirección a vista correspondiente.,To-do,Fanner,flutter,onboarding,Fase I - MVP
"FASE I: UI 3 Botones principales",Dashboard con 3 botones: + Venta, - Gasto, ¿Cómo voy?. Diseño limpio y grande.,To-do,Fanner,flutter,ux,Fase I - MVP
"FASE I: UI Flujo de Venta",Selección rápida de productos. Pop-up de cambio. Opción de cliente (opcional). Foto de baucher si pago tarjeta.,To-do,Fanner,flutter,venta,Fase I - MVP
"FASE I: UI Registro de Gasto",Pantalla rápida para registrar salida de dinero. Monto, concepto, categoría.,To-do,Fanner,flutter,Fase I - MVP
"FASE I: Offline-First SQLite/Room",Base de datos local con las mismas entidades. Operaciones en local con latencia cero.,To-do,Fanner,flutter,offline,Fase I - MVP
"FASE I: Sincronización en segundo plano",Worker cada 5-10 min que envía datos pendientes al backend. Manejo de errores y reintentos.,To-do,Fanner,flutter,sync,Fase I - MVP
"FASE I: UI Configuración Just-in-Time",Si no hay productos al vender, sugerir creación al vuelo. Sin menús iniciales.,To-do,Fanner,flutter,ux,Fase I - MVP
"FASE I: UI Dashboard Flujo de Caja",Vista ¿Cómo voy? con total ventas, gastos, balance. Indicador verde/ámbar/rojo. Selector de rango de fechas.,To-do,Fanner,flutter,reportes,Fase I - MVP
"FASE I: Validar esquema de datos para ML","Revisar que items_json, timestamps y estructura de transacciones permitan análisis futuro. Documentar formato.",To-do,Leandro,data-science,Fase I - MVP
"FASE II: Integración WhatsApp Business API","Configurar API de WhatsApp Business. Plantillas de recibos aprobadas. Manejo de límites y costos.",To-do,Jesús Medina,backend,whatsapp,Fase II - Lealtad
"FASE II: API Programa de Lealtad","CRUD de LoyaltyProgram por negocio. Umbral de compras, tipo de premio, producto asociado.",To-do,Jesús Medina,backend,lealtad,Fase II - Lealtad
"FASE II: API Acumulación de Puntos","Lógica que incrementa purchases_toward_reward por cada venta con cliente registrado. Disparar premio al alcanzar umbral.",To-do,Jesús Medina,backend,lealtad,Fase II - Lealtad
"FASE II: API Generación QR de Premio","Endpoint que genera QR único por reward. Validación de QR al canjear. Marcar como usado.",To-do,Jesús Medina,backend,qr,Fase II - Lealtad
"FASE II: API Cancelación con Evidencia","Endpoint POST /transactions/{id}/cancel con foto (base64/URL), motivo, validación de 3 min.",To-do,Jesús Medina,backend,anti-fraude,Fase II - Lealtad
"FASE II: Push Notifications","Integración Firebase Cloud Messaging. Push al dueño cuando hay cancelación.",To-do,Fanner,backend,push,Fase II - Lealtad
"FASE II: Envío de Recibo WhatsApp","Integrar API WhatsApp para enviar recibo al cerrar venta con cliente. Mensaje con resumen y QR de premio si aplica.",To-do,Fanner,flutter,whatsapp,Fase II - Lealtad
"FASE II: UI Campo Cliente en Venta","Campo opcional de teléfono en pantalla de venta. Si se ingresa, activar CRM + recibo + puntos.",To-do,Fanner,flutter,venta,Fase II - Lealtad
