invoice_id,timestamp,day_of_week,hour,channel,zone,cashier_id,client_name,product_name,quantity,total_price,is_anulada,insumo_name,insumo_qty_used,context_event,weather
1,2026-02-01 21:40:00,Domingo,21,Envío a domicilio,Zona Sur,Cajero_2,Cliente_VIP_Marta,Quesadilla Especial,2,4400.0,False,Queso Muzzarella (kg),0.3,Día Comercial Estándar,Despejado
2,2026-02-01 22:53:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_149,Agua de Horchata Grande,3,2700.0,False,Bebidas (unidades),3.0,Día Comercial Estándar,Despejado
3,2026-02-01 21:38:00,Domingo,21,Cliente al paso,Barrio Centro,Cajero_1,Cliente_140,Taco de Barbacoa,2,3800.0,False,Carne de Barbacoa (kg),0.22,Día Comercial Estándar,Despejado
4,2026-02-01 22:01:00,Domingo,22,Cliente al paso,Zona Oeste,Cajero_3_Anomalo,Cliente_145,Taco de Carnitas,1,1700.0,False,Carne de Cerdo Carnitas (kg),0.1,Día Comercial Estándar,Despejado
5,2026-02-01 20:49:00,Domingo,20,Envío a domicilio,Barrio Centro,Cajero_3_Anomalo,Cliente_122,Taco de Asada,1,1800.0,False,Carne de Res Asada (kg),0.1,Día Comercial Estándar,Despejado
6,2026-02-01 22:52:00,Domingo,22,Envío a domicilio,Barrio Norte,Cajero_2,Cliente_136,Taco al Pastor,1,1500.0,False,Carne Al Pastor (kg),0.1,Día Comercial Estándar,Despejado
7,2026-02-01 20:20:00,Domingo,20,Envío a domicilio,Barrio Norte,Cajero_3_Anomalo,Cliente_138,Agua de Horchata Grande,3,2700.0,False,Bebidas (unidades),3.0,Día Comercial Estándar,Despejado
8,2026-02-01 21:39:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_3_Anomalo,Cliente_125,Quesadilla Especial,1,2200.0,False,Queso Muzzarella (kg),0.15,Día Comercial Estándar,Despejado
9,2026-02-01 23:41:00,Domingo,23,Cliente al paso,Barrio Centro,Cajero_1,Cliente_120,Agua de Horchata Grande,2,1800.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
10,2026-02-01 22:56:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_3_Anomalo,Cliente_106,Agua de Horchata Grande,2,1800.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
11,2026-02-01 22:37:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_2,Cliente_121,Taco de Carnitas,2,3400.0,False,Carne de Cerdo Carnitas (kg),0.2,Día Comercial Estándar,Despejado
12,2026-02-01 21:49:00,Domingo,21,Cliente al paso,Zona Oeste,Cajero_2,Cliente_133,Taco de Carnitas,2,3400.0,False,Carne de Cerdo Carnitas (kg),0.2,Día Comercial Estándar,Despejado
13,2026-02-01 21:35:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_1,Cliente_129,Taco de Carnitas,2,3400.0,False,Carne de Cerdo Carnitas (kg),0.2,Día Comercial Estándar,Despejado
14,2026-02-01 22:19:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_146,Agua de Horchata Grande,2,1800.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
15,2026-02-01 22:53:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_1,Cliente_102,Taco de Carnitas,2,3400.0,False,Carne de Cerdo Carnitas (kg),0.2,Día Comercial Estándar,Despejado
16,2026-02-01 21:58:00,Domingo,21,Envío a domicilio,Barrio Centro,Cajero_1,Cliente_126,Taco al Pastor,2,3000.0,False,Carne Al Pastor (kg),0.2,Día Comercial Estándar,Despejado
17,2026-02-01 20:10:00,Domingo,20,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_143,Gaseosa en Lata,1,1200.0,False,Bebidas (unidades),1.0,Día Comercial Estándar,Despejado
18,2026-02-01 22:07:00,Domingo,22,Cliente al paso,Barrio Norte,Cajero_2,Cliente_148,Taco de Barbacoa,1,1900.0,False,Carne de Barbacoa (kg),0.11,Día Comercial Estándar,Despejado
19,2026-02-01 22:33:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_108,Taco de Barbacoa,2,3800.0,False,Carne de Barbacoa (kg),0.22,Día Comercial Estándar,Despejado
20,2026-02-01 22:28:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_1,Cliente_139,Gaseosa en Lata,2,2400.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
21,2026-02-01 20:49:00,Domingo,20,Envío a domicilio,Barrio Centro,Cajero_1,Cliente_104,Agua de Horchata Grande,2,1800.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
22,2026-02-01 22:25:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_104,Taco de Asada,1,1800.0,False,Carne de Res Asada (kg),0.1,Día Comercial Estándar,Despejado
23,2026-02-01 22:31:00,Domingo,22,Envío a domicilio,Barrio Centro,Cajero_2,Cliente_VIP_Juan,Taco de Barbacoa,3,5700.0,False,Carne de Barbacoa (kg),0.33,Día Comercial Estándar,Despejado
24,2026-02-01 21:50:00,Domingo,21,Envío a domicilio,Barrio Norte,Cajero_3_Anomalo,Cliente_105,Taco de Asada,1,0.0,True,Carne de Res Asada (kg),0.1,Día Comercial Estándar,Despejado
25,2026-02-01 22:49:00,Domingo,22,Cliente al paso,Barrio Norte,Cajero_2,Cliente_135,Agua de Horchata Grande,2,1800.0,False,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
26,2026-02-01 20:30:00,Domingo,20,Envío a domicilio,Zona Oeste,Cajero_3_Anomalo,Cliente_148,Agua de Horchata Grande,2,0.0,True,Bebidas (unidades),2.0,Día Comercial Estándar,Despejado
27,2026-02-01 22:46:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_2,Cliente_101,Agua de Horchata Grande,3,2700.0,False,Bebidas (unidades),3.0,Día Comercial Estándar,Despejado
28,2026-02-01 23:43:00,Domingo,23,Cliente al paso,Barrio Norte,Cajero_2,Cliente_106,Taco de Asada,2,3600.0,False,Carne de Res Asada (kg),0.2,Día Comercial Estándar,Despejado
29,2026-02-01 22:00:00,Domingo,22,Envío a domicilio,Zona Sur,Cajero_3_Anomalo,Cliente_143,Taco de Barbacoa,2,3800.0,False,Carne de Barbacoa (kg),0.22,Día Comercial Estándar,Despejado
30,2026-02-01 22:10:00,Domingo,22,Envío a domicilio,Barrio Norte,Cajero_1,Cliente_VIP_Marta,Taco de Barbacoa,1,1900.0,False,Carne de Barbacoa (kg),0.11,Día Comercial Estándar,Despejado
31,2026-02-01 22:18:00,Domingo,22,Cliente al paso,Barrio Centro,Cajero_3_Anomalo,Cliente_129,Quesadilla Especial,1,2200.0,False,Queso Muzzarella (kg),0.15,Día Comercial Estándar,Despejado
32,2026-02-01 23:21:00,Domingo,23,Cliente al paso,Barrio Norte,Cajero_3_Anomalo,Cliente_134,Quesadilla Especial,1,2200.0,False,Queso Muzzarella (kg),0.15,Día Comercial Estándar,Despejado
33,2026-02-01 20:35:00,Domingo,20,Envío a domicilio,Barrio Norte,Cajero_1,Cliente_115,Taco de Barbacoa,1,1900.0,False,Carne de Barbacoa (kg),0.11,Día Comercial Estándar,Despejado
34,2026-02-01 23:53:00,Domingo,23,Cliente al paso,Barrio Centro,Cajero_2,Cliente_113,Taco al Pastor,1,1500.0,False,Carne Al Pastor (kg),0.1,Día Comercial Estándar,Despejado
35,2026-02-01 23:02:00,Domingo,23,Cliente al paso,Zona Oeste,Cajero_3_Anomalo,Cliente_118,Taco al Pastor,4,6000.0,False,Carne Al Pastor (kg),0.4,Día Comercial Estándar,Despejado
36,2026-02-01 20:24:00,Domingo,20,Envío a domicilio,Barrio Centro,Cajero_3_Anomalo,Cliente_137,Taco de Barbacoa,2,0.0,True,Carne de Barbacoa (kg),0.22,Día Comercial Estándar,Despejado
37,2026-02-01 23:27:00,Domingo,23,Cliente al paso,Barrio Norte,Cajero_2,Cliente_116,Taco al Pastor,2,3000.0,False,Carne Al Pastor (kg),0.2,Día Comercial Estándar,Despejado
