title,description,status,assignee,labels
[F3-Jesus] API Planes y Precios (GET /plans),""Endpoint GET /plans con lista de planes: free, premium, business. Precios, límites, features habilitadas por plan.",To-do,Jesús Medina,backend,licencias
[F3-Jesus] API Upgrade de Licencia (POST /upgrade),""POST /business/{id}/license/upgrade con plan elegido. Integrar con pasarela de pago (Stripe). Webhook para confirmar pago y activar licencia.",To-do,Jesús Medina,backend,licencias,pagos
[F3-Jesus] API Cancelar Suscripción,"POST /business/{id}/license/cancel. Baja a Free al final del período. No pierde datos.",To-do,Jesús Medina,backend,licencias
[F3-Jesus] Batch de vencimiento automático,"Job nocturno que revisa licencias con end_date vencido. Las baja a Free automáticamente. Notifica al dueño: 'Tu plan Premium ha vencido. Tus datos están seguros.'",To-do,Jesús Medina,backend,licencias,batch
[F3-Jesus] Endpoint Reportes Detallados,"GET /reports con filtros: cajero, producto, hora. Comparativas semanales/mensuales.",To-do,Jesús Medina,backend,reportes
[F3-Jesus] Endpoint Auditoría (GET /audit),""Bitácora cancelaciones con foto. Reporte por cajero. Alertas de no registro vs promedio histórico.",To-do,Jesús Medina,backend,auditoria
[F3-Fanner] UI Dashboard de Licencia con Upgrade,"Sección dueño con plan actual, días restantes, usos vs límites. Botón 'Mejorar plan' que muestra GET /plans. Upgrade con confirmación.",To-do,Fanner,flutter,licencias
[F3-Fanner] Integración con pasarela de pago (Stripe),"Pantalla de pago al hacer upgrade. Stripe Checkout o similar. Confirmación de pago exitoso. Mostrar licencia actualizada.",To-do,Fanner,flutter,pagos
[F3-Fanner] Infraestructura Batch Processing,"Spring Batch o scheduler nocturno. Pipeline datos PostgreSQL a motor IA. Log de ejecuciones.",To-do,Fanner,backend,batch
[F3-Fanner] UI ¿Cómo voy? con Insights,"Dashboard salud verde/ámbar/rojo. Insights genéricos Free. Banner Premium al final no intrusivo.",To-do,Fanner,flutter,insights
[F3-Fanner] UI Reportes Detallados,"Filtros cajero, producto, fecha. Gráficos simples. Botón compartir WhatsApp.",To-do,Fanner,flutter,reportes
[F3-Leandro] Modelo Predicción Flujo de Caja,"ML proyección 7/30 días. Variables: ventas históricas, gastos recurrentes, deudas, estacionalidad.",To-do,Leandro,data-science,ml
[F3-Leandro] Alerta Temprana de Quiebra,"Algoritmo detecta incapacidad pago proveedores/nómina. Dispara alerta contextual con acciones.",To-do,Leandro,data-science,ml
[F3-Leandro] Sistema Insights Personalizados Premium,"Generador insights diarios. Clasificador qué decir y cuándo. Solo si plan=premium.",To-do,Leandro,data-science,nlp
[F3-Leandro] Insights Genéricos Comunidad Free,"Estadísticas anónimas sector: promedios, tendencias. 'Negocios como el tuyo aumentaron 15%'",To-do,Leandro,data-science
[F3-Leandro] Segmentación Clientes por Lealtad,"Clusters: frecuentes, esporádicos, perdidos. Recomendaciones por segmento.",To-do,Leandro,data-science,ml
