title,description,status,assignee,labels
[F2-Jesus] Integración WhatsApp Business API,"Configurar API WhatsApp Business. Plantillas de recibos aprobadas. Manejo de límites de mensajes y costos.",To-do,Jesús Medina,backend,whatsapp
[F2-Jesus] API Programa de Lealtad CRUD,"CRUD LoyaltyProgram por negocio. Umbral de compras (ej. 5), tipo de premio, producto asociado, activo/inactivo.",To-do,Jesús Medina,backend,lealtad
[F2-Jesus] API Acumulación de Puntos y Premios,"Lógica: cada venta con cliente incrementa contador. Al alcanzar umbral, generar reward con código QR único.",To-do,Jesús Medina,backend,lealtad
[F2-Jesus] API Generación QR de Premio,"Endpoint genera QR único por reward. Validación al canjear (no expirado, no usado). Marcar como redeemed.",To-do,Jesús Medina,backend,qr
[F2-Jesus] API Cancelación con Evidencia,"Endpoint POST /transactions/{id}/cancel. Valida ventana 3 min. Recibe foto + motivo. Log inmutable.",To-do,Jesús Medina,backend,anti-fraude
[F2-Jesus] API Push Notifications,"Firebase Cloud Messaging. Push al dueño: cancelación detectada, alertas de ventas bajas.",To-do,Jesús Medina,backend,push
[F2-Fanner] Envío de Recibo WhatsApp (Flutter),"Integrar llamado a API WhatsApp al cerrar venta con cliente. Mostrar confirmación de envío.",To-do,Fanner,flutter,whatsapp
[F2-Fanner] UI Campo Cliente en Venta,"Campo opcional de teléfono. Si se ingresa: activar CRM + recibo + acumulación puntos. Si vacío: folio genérico.",To-do,Fanner,flutter,venta
[F2-Fanner] UI Escáner QR para Canje de Premio,"Pantalla con cámara. Escanea QR, valida con backend, muestra confirmación. Registra canje.",To-do,Fanner,flutter,qr
[F2-Fanner] UI Flujo de Cancelación,"Botón cancelar, selector de causa, captura de foto, confirmación. Validar ventana de 3 min local.",To-do,Fanner,flutter,anti-fraude
[F2-Fanner] UI Recibos y Recompensas para Cliente,"Vista donde el cliente ve su progreso: compras acumuladas, próximos premios, historial de canjes.",To-do,Fanner,flutter,lealtad
[F2-Leandro] Modelo Customer Behavior,"Diseñar métricas: frecuencia de compra, ticket promedio, productos favoritos, hora más frecuente, retention rate.",To-do,Leandro,data-science,lealtad
[F2-Leandro] Definir esquema de datos de lealtad,"Estructura para CustomerPoints, RewardRedemption. Qué datos capturar para análisis de retención y segmentación.",To-do,Leandro,data-science
