title,description,status,assignee,labels
[F1-Jesus] Diseñar esquema PostgreSQL con tabla License,"Crear tablas: Business, User, Transaction, Product, Cancellation, Customer, Insight, License. License con plan, start_date, end_date, status, max_cashiers, max_businesses, features JSON. Migrations.",To-do,Jesús Medina,backend,db
[F1-Jesus] Middleware validación de licencia,"Middleware validateLicense(business_id, action) en endpoints sensibles. Verifica: plan activo, no vencido, límites no excedidos. Error license_limit_reached.",To-do,Jesús Medina,backend,licencias
[F1-Jesus] API GET /license y GET /plans,"GET /business/{id}/license: plan, status, vencimiento, cashiers/total, businesses/total, features. GET /plans: lista planes con precios y límites.",To-do,Jesús Medina,backend,licencias
[F1-Jesus] API Auth JWT + Google Login,"POST /auth/login con JWT 24h. Validación Google token. SecureStorage.",To-do,Jesús Medina,backend,auth
[F1-Jesus] API CRUD Negocios + licencia automática,"CRUD Business. Al crear, generar licencia Free con límites (2 cashiers, 1 negocio). Validar max_businesses.",To-do,Jesús Medina,backend
[F1-Jesus] API CRUD Productos,"CRUD productos por negocio. Creación al vuelo. Sync con tabla local.",To-do,Jesús Medina,backend
[F1-Jesus] API CRUD Transacciones,"Registrar ventas, gastos, deudas. Pago efectivo/tarjeta con foto baucher. Items en JSON.",To-do,Jesús Medina,backend
[F1-Jesus] API Sync Batch (POST /sync),"Batch transacciones locales. Resolución conflictos por timestamp + device_id. Logs inmutables.",To-do,Jesús Medina,backend,sync
[F1-Jesus] API Reportes básicos,"GET /reports con rango fechas. Respuesta: total_sales, expenses, net_cash, top_products.",To-do,Jesús Medina,backend,reportes
[F1-Jesus] Validar licencia al crear cajero y negocio,"POST /auth/role cashier: validar max_cashiers. POST /business: validar max_businesses. Error + mensaje claro + upgrade_required.",To-do,Jesús Medina,backend,licencias
[F1-Fanner] UI Dashboard de Licencia (dueño),"Sección dueño ve: plan actual, fecha vencimiento si aplica, barras de uso (cajeros/total, negocios/total). Free sin vencimiento. <15d alerta amarilla. Vencido alerta roja.",To-do,Fanner,flutter,licencias
[F1-Fanner] UI Feedback límite alcanzado,"Modal cuando backend responde license_limit_reached: 'Alcanzaste límite de X. Mejora a Premium' con botón a planes.",To-do,Fanner,flutter,licencias
[F1-Fanner] UI Onboarding Google Login + Rol,"Login Google. Selección Dueño/Cajero. Cajero ingresa código QR del negocio.",To-do,Fanner,flutter,onboarding
[F1-Fanner] UI 3 Botones principales,"Dashboard: + Venta, - Gasto, ¿Cómo voy?. Botones grandes.",To-do,Fanner,flutter,ux
[F1-Fanner] UI Flujo de Venta,"Selección rápida productos. Crear al vuelo. Pop-up cambio. Cliente opcional. Foto baucher.",To-do,Fanner,flutter,venta
[F1-Fanner] UI Registro de Gasto,"Pantalla rápida: monto, concepto, categoría.",To-do,Fanner,flutter
[F1-Fanner] UI Dashboard Flujo de Caja,"Vista ¿Cómo voy? con ventas, gastos, balance. Indicador verde/ámbar/rojo. Selector rango fechas.",To-do,Fanner,flutter,reportes
[F1-Fanner] Offline-First SQLite/Room,"BD local mismas entidades. Latencia cero.",To-do,Fanner,flutter,offline
[F1-Fanner] Sincronización segundo plano,"Worker 5-10 min. Envía pendientes. Reintentos.",To-do,Fanner,flutter,sync
[F1-Fanner] UI Configuración Just-in-Time,"Sin productos: sugerir creación al vuelo. Sin menús iniciales.",To-do,Fanner,flutter,ux
[F1-Leandro] Validar esquema datos para ML,"Revisar items_json, timestamps. Documentar formato. Incluir plan en datasets para segmentar modelos free vs premium.",To-do,Leandro,data-science
